MUNICIPIO,CNAE,TOTAL
DUQUE DE CAXIAS,9700500,1429
DUQUE DE CAXIAS,9609299,190
DUQUE DE CAXIAS,9609208,224
DUQUE DE CAXIAS,9609207,28
DUQUE DE CAXIAS,9609206,166
DUQUE DE CAXIAS,9609202,25
DUQUE DE CAXIAS,9603304,13
DUQUE DE CAXIAS,9602502,1693
DUQUE DE CAXIAS,9602501,6476
DUQUE DE CAXIAS,9601703,9
DUQUE DE CAXIAS,9601702,1
DUQUE DE CAXIAS,9601701,42
DUQUE DE CAXIAS,9529199,45
DUQUE DE CAXIAS,9529106,32
DUQUE DE CAXIAS,9529105,130
DUQUE DE CAXIAS,9529104,54
DUQUE DE CAXIAS,9529103,13
DUQUE DE CAXIAS,9529102,102
DUQUE DE CAXIAS,9529101,15
DUQUE DE CAXIAS,9521500,198
DUQUE DE CAXIAS,9512600,301
DUQUE DE CAXIAS,9511800,643
DUQUE DE CAXIAS,9329899,102
DUQUE DE CAXIAS,9329804,9
DUQUE DE CAXIAS,9329803,2
DUQUE DE CAXIAS,9002702,17
DUQUE DE CAXIAS,9001906,145
DUQUE DE CAXIAS,9001902,218
DUQUE DE CAXIAS,9001901,63
DUQUE DE CAXIAS,8712300,3727
DUQUE DE CAXIAS,8599699,1172
DUQUE DE CAXIAS,8599605,101
DUQUE DE CAXIAS,8599604,510
DUQUE DE CAXIAS,8599603,144
DUQUE DE CAXIAS,8593700,74
DUQUE DE CAXIAS,8592999,251
DUQUE DE CAXIAS,8592903,52
DUQUE DE CAXIAS,8592902,15
DUQUE DE CAXIAS,8299799,64
DUQUE DE CAXIAS,8299707,48
DUQUE DE CAXIAS,8292000,9
DUQUE DE CAXIAS,8291100,98
DUQUE DE CAXIAS,8230002,176
DUQUE DE CAXIAS,8230001,871
DUQUE DE CAXIAS,8219999,1269
DUQUE DE CAXIAS,8219901,46
DUQUE DE CAXIAS,8130300,165
DUQUE DE CAXIAS,8129000,57
DUQUE DE CAXIAS,8020002,32
DUQUE DE CAXIAS,8011102,10
DUQUE DE CAXIAS,7990200,16
DUQUE DE CAXIAS,7912100,51
DUQUE DE CAXIAS,7911200,252
DUQUE DE CAXIAS,7739099,38
DUQUE DE CAXIAS,7739003,15
DUQUE DE CAXIAS,7739002,6
DUQUE DE CAXIAS,7733100,4
DUQUE DE CAXIAS,7732202,15
DUQUE DE CAXIAS,7732201,52
DUQUE DE CAXIAS,7731400,2
DUQUE DE CAXIAS,7729299,2
DUQUE DE CAXIAS,7729203,3
DUQUE DE CAXIAS,7729202,151
DUQUE DE CAXIAS,7729201,10
DUQUE DE CAXIAS,7723300,19
DUQUE DE CAXIAS,7722500,5
DUQUE DE CAXIAS,7721700,43
DUQUE DE CAXIAS,7719599,16
DUQUE DE CAXIAS,7490102,4
DUQUE DE CAXIAS,7420004,58
DUQUE DE CAXIAS,7420003,9
DUQUE DE CAXIAS,7420002,12
DUQUE DE CAXIAS,7420001,375
DUQUE DE CAXIAS,7319099,22
DUQUE DE CAXIAS,7319002,3005
DUQUE DE CAXIAS,6399200,34
DUQUE DE CAXIAS,6190699,123
DUQUE DE CAXIAS,5912099,300
DUQUE DE CAXIAS,5912001,5
DUQUE DE CAXIAS,5819100,249
DUQUE DE CAXIAS,5813100,29
DUQUE DE CAXIAS,5812302,28
DUQUE DE CAXIAS,5812301,37
DUQUE DE CAXIAS,5811500,74
DUQUE DE CAXIAS,5620104,3709
DUQUE DE CAXIAS,5620103,55
DUQUE DE CAXIAS,5620102,286
DUQUE DE CAXIAS,5620101,335
DUQUE DE CAXIAS,5612100,1772
DUQUE DE CAXIAS,5611205,309
DUQUE DE CAXIAS,5611204,465
DUQUE DE CAXIAS,5611203,2337
DUQUE DE CAXIAS,5611201,2015
DUQUE DE CAXIAS,5590699,36
DUQUE DE CAXIAS,5590603,177
DUQUE DE CAXIAS,5590602,2
DUQUE DE CAXIAS,5590601,3
DUQUE DE CAXIAS,5320202,1575
DUQUE DE CAXIAS,5320201,1110
DUQUE DE CAXIAS,5310502,14
DUQUE DE CAXIAS,5229099,2931
DUQUE DE CAXIAS,5229002,106
DUQUE DE CAXIAS,5223100,40
DUQUE DE CAXIAS,5212500,465
DUQUE DE CAXIAS,5211702,50
DUQUE DE CAXIAS,5099899,17
DUQUE DE CAXIAS,5099801,5
DUQUE DE CAXIAS,5091202,9
DUQUE DE CAXIAS,5091201,2
DUQUE DE CAXIAS,5021101,17
DUQUE DE CAXIAS,5011401,4
DUQUE DE CAXIAS,4930204,251
DUQUE DE CAXIAS,4930203,67
DUQUE DE CAXIAS,4930202,1455
DUQUE DE CAXIAS,4930201,3393
DUQUE DE CAXIAS,4929903,9
DUQUE DE CAXIAS,4929902,337
DUQUE DE CAXIAS,4929901,699
DUQUE DE CAXIAS,4924800,140
DUQUE DE CAXIAS,4923001,309
DUQUE DE CAXIAS,4789099,592
DUQUE DE CAXIAS,4789008,47
DUQUE DE CAXIAS,4789007,37
DUQUE DE CAXIAS,4789005,253
DUQUE DE CAXIAS,4789004,440
DUQUE DE CAXIAS,4789003,28
DUQUE DE CAXIAS,4789002,67
DUQUE DE CAXIAS,4789001,300
DUQUE DE CAXIAS,4785799,100
DUQUE DE CAXIAS,4785701,7
DUQUE DE CAXIAS,4783102,39
DUQUE DE CAXIAS,4783101,139
DUQUE DE CAXIAS,4782202,11
DUQUE DE CAXIAS,4782201,189
DUQUE DE CAXIAS,4781400,4343
DUQUE DE CAXIAS,4774100,174
DUQUE DE CAXIAS,4773300,63
DUQUE DE CAXIAS,4772500,1020
DUQUE DE CAXIAS,4763604,13
DUQUE DE CAXIAS,4763603,137
DUQUE DE CAXIAS,4763602,93
DUQUE DE CAXIAS,4763601,88
DUQUE DE CAXIAS,4762800,9
DUQUE DE CAXIAS,4761003,90
DUQUE DE CAXIAS,4761002,22
DUQUE DE CAXIAS,4761001,29
DUQUE DE CAXIAS,4759899,107
DUQUE DE CAXIAS,4759801,35
DUQUE DE CAXIAS,4757100,132
DUQUE DE CAXIAS,4756300,13
DUQUE DE CAXIAS,4755503,446
DUQUE DE CAXIAS,4755502,763
DUQUE DE CAXIAS,4755501,43
DUQUE DE CAXIAS,4754703,25
DUQUE DE CAXIAS,4754702,56
DUQUE DE CAXIAS,4754701,195
DUQUE DE CAXIAS,4753900,111
DUQUE DE CAXIAS,4752100,369
DUQUE DE CAXIAS,4751202,10
DUQUE DE CAXIAS,4751201,385
DUQUE DE CAXIAS,4744099,657
DUQUE DE CAXIAS,4744005,1
DUQUE DE CAXIAS,4744004,53
